RespId,weight,ppage,educ,race,gender,income_cat,voter_category
470064,1.0279,67,Some college,White,Female,$75-125k,always
470065,0.9633,59,High school or less,White,Male,Less than $40k,sporadic
470067,1.0966,59,Some college,White,Male,$125k or more,sporadic
470068,0.7713,44,College,Other/Mixed,Female,$75-125k,always
470070,1.0142,73,Some college,White,Female,$40-75k,sporadic
470071,1.3041,46,College,White,Female,$125k or more,sporadic
470072,1.0976,36,College,White,Female,$40-75k,always
470073,1.2994,43,High school or less,White,Male,$40-75k,sporadic
470074,1.0841,56,College,White,Female,$75-125k,always
480081,1.0515,80,High school or less,White,Female,$40-75k,always
470075,0.9546,50,College,White,Female,$75-125k,always
470077,1.2876,57,High school or less,White,Female,$75-125k,rarely/never
470079,1.2153,66,Some college,White,Female,$125k or more,always
470080,1.2914,29,Some college,White,Female,$75-125k,rarely/never
470082,1.2471,43,College,White,Male,$125k or more,sporadic
470087,1.0098,56,Some college,White,Male,Less than $40k,rarely/never
470088,1.0457,64,Some college,White,Female,$125k or more,sporadic
470089,1.4933,38,Some college,Other/Mixed,Male,$125k or more,rarely/never
470090,1.1668,57,High school or less,White,Female,Less than $40k,rarely/never
470092,1.0594,26,College,Other/Mixed,Male,$125k or more,rarely/never
470094,0.3085,75,College,Black,Male,$40-75k,always
470096,1.3098,54,Some college,Other/Mixed,Female,$75-125k,sporadic
470097,0.6002,73,College,Other/Mixed,Male,$40-75k,sporadic
470098,0.9865,27,College,White,Female,$40-75k,rarely/never
470100,0.6823,28,College,White,Male,Less than $40k,sporadic
470101,0.9412,49,College,Other/Mixed,Male,$125k or more,rarely/never
470102,1.0557,56,High school or less,White,Male,$40-75k,rarely/never
470103,0.5504,59,College,Black,Male,$125k or more,sporadic
470104,0.9323,72,High school or less,White,Male,$75-125k,always
470106,1.0936,39,Some college,White,Male,Less than $40k,rarely/never
470107,1.2687,40,College,White,Male,$125k or more,rarely/never
470108,0.6793,62,High school or less,Black,Male,$40-75k,sporadic
470109,0.8728,75,High school or less,White,Male,Less than $40k,rarely/never
470111,0.8314,74,College,White,Female,$75-125k,always
470112,1.0482,62,High school or less,Hispanic,Female,$75-125k,rarely/never
470113,1.0037,29,College,White,Male,$125k or more,always
470115,0.9997,77,High school or less,White,Female,$75-125k,always
470116,1.4106,43,College,White,Female,$125k or more,sporadic
470117,0.9261,64,Some college,Other/Mixed,Female,$40-75k,always
470118,0.9673,65,High school or less,White,Female,Less than $40k,sporadic
470119,0.4026,89,Some college,Black,Male,$75-125k,always
480127,0.4758,68,Some college,Black,Female,Less than $40k,always
470120,0.9742,69,High school or less,White,Female,$40-75k,sporadic
470121,0.8746,79,College,White,Female,$125k or more,always
470122,0.9186,71,High school or less,White,Female,Less than $40k,sporadic
470125,0.9067,66,Some college,White,Male,$40-75k,always
470126,1.0943,72,High school or less,White,Female,$125k or more,always
470127,1.3452,53,High school or less,White,Female,$40-75k,rarely/never
470128,0.9746,62,College,White,Male,$125k or more,rarely/never
470131,0.5081,30,College,Black,Male,$75-125k,rarely/never
470133,0.8516,43,College,Hispanic,Female,$125k or more,always
470134,0.9742,72,High school or less,White,Female,$40-75k,rarely/never
470135,1.1984,65,Some college,White,Female,$125k or more,sporadic
470137,1.1027,59,High school or less,White,Male,$40-75k,rarely/never
470138,0.9628,69,High school or less,Black,Male,Less than $40k,always
470139,0.5402,76,Some college,Black,Female,$40-75k,always
470140,0.885,74,Some college,White,Female,Less than $40k,sporadic
470141,0.7835,69,College,White,Male,$75-125k,sporadic
470142,0.8044,81,College,White,Male,$125k or more,always
480152,1.1913,56,High school or less,Black,Male,$125k or more,sporadic
470143,0.7714,75,High school or less,White,Female,Less than $40k,sporadic
470144,0.5081,44,College,Black,Male,$75-125k,sporadic
470145,1.5818,47,Some college,White,Female,$125k or more,sporadic
470146,0.4161,77,College,Black,Female,$125k or more,sporadic
470147,0.7648,63,College,White,Female,$40-75k,always
470148,0.8741,63,Some college,White,Male,$75-125k,always
470149,1.3612,82,High school or less,White,Female,$125k or more,always
470151,0.3729,69,College,Hispanic,Female,$40-75k,always
470152,0.9106,49,College,White,Male,$75-125k,always
470154,0.5872,76,Some college,Black,Female,$75-125k,always
470158,1.5437,57,Some college,White,Female,$125k or more,always
470159,1.0308,57,College,White,Male,$125k or more,sporadic
470160,1.4106,41,College,White,Female,$125k or more,sporadic
470162,0.7223,78,College,White,Female,Less than $40k,sporadic
470163,0.8044,72,College,White,Male,$75-125k,rarely/never
470164,1.1235,77,High school or less,White,Female,$75-125k,always
470165,0.4076,46,College,Hispanic,Male,$75-125k,sporadic
470167,0.6926,73,College,White,Male,Less than $40k,always
470168,1.0783,60,High school or less,White,Male,$40-75k,sporadic
470169,0.9456,89,Some college,White,Female,$40-75k,always
480183,1.5371,29,Some college,Black,Male,Less than $40k,rarely/never
470172,1.1653,64,Some college,White,Male,$125k or more,always
470174,1.0457,63,Some college,White,Female,$75-125k,rarely/never
470175,1.2056,60,High school or less,Black,Female,Less than $40k,rarely/never
470177,0.7554,26,College,White,Male,$75-125k,always
470179,0.7945,25,College,White,Male,$40-75k,always
470180,1.1512,79,High school or less,White,Female,$75-125k,sporadic
470181,0.4233,74,College,Black,Female,$75-125k,sporadic
470182,0.8314,73,College,White,Female,$75-125k,always
470183,0.9511,60,College,White,Male,$125k or more,always
470184,1.1045,55,Some college,White,Male,$75-125k,sporadic
470186,0.9746,71,College,White,Male,$125k or more,always
470187,1.3194,47,Some college,White,Female,$125k or more,always
470188,0.3296,72,College,Black,Male,$125k or more,always
470189,1.2346,22,High school or less,White,Female,$75-125k,rarely/never
470190,0.9436,64,Some college,White,Male,$75-125k,always
470191,0.8681,88,Some college,White,Male,$40-75k,always
470193,1.0591,66,High school or less,White,Female,$40-75k,always
470196,0.5402,81,Some college,Black,Female,$40-75k,sporadic
470198,1.2784,56,High school or less,White,Female,$75-125k,sporadic
470200,0.8184,70,College,White,Male,$75-125k,sporadic
470201,0.9712,52,High school or less,White,Male,Less than $40k,rarely/never
470205,0.6347,57,Some college,Black,Male,$75-125k,sporadic
470206,0.7378,50,College,White,Male,$40-75k,always
470207,1.3995,30,Some college,White,Female,$75-125k,always
470208,1.0019,60,Some college,White,Female,$75-125k,always
480222,1.4217,62,High school or less,White,Female,Less than $40k,rarely/never
470212,0.885,62,Some college,White,Female,Less than $40k,always
470213,0.9485,67,High school or less,White,Male,$75-125k,sporadic
470214,1.2072,54,High school or less,White,Male,$75-125k,sporadic
470215,1.2736,68,High school or less,White,Male,$125k or more,sporadic
480230,0.4453,62,Some college,Black,Male,$75-125k,sporadic
470216,0.8699,78,Some college,White,Female,$40-75k,always
470217,0.8741,65,Some college,White,Male,$75-125k,always
470218,2.0005,36,High school or less,White,Female,Less than $40k,rarely/never
470219,1.1984,79,Some college,White,Female,$125k or more,sporadic
470220,0.9264,66,College,White,Male,$125k or more,sporadic
470222,0.8937,58,College,White,Female,Less than $40k,sporadic
470225,0.4969,66,Some college,Black,Female,Less than $40k,sporadic
470228,0.8791,60,Some college,White,Female,Less than $40k,sporadic
470229,0.9186,73,High school or less,White,Female,Less than $40k,always
470230,0.8309,64,Some college,White,Male,$75-125k,always
470232,0.9264,60,College,White,Male,$125k or more,rarely/never
470233,1.2745,50,Some college,White,Male,$125k or more,rarely/never
470235,1.1928,31,Some college,Other/Mixed,Female,$75-125k,sporadic
470237,1.2204,56,High school or less,White,Female,Less than $40k,rarely/never
470238,1.5266,53,High school or less,White,Female,Less than $40k,rarely/never
470239,0.876,44,College,Other/Mixed,Female,$125k or more,sporadic
470241,1.2459,43,Some college,White,Female,Less than $40k,rarely/never
470242,0.9656,54,Some college,White,Male,$75-125k,always
470243,1.0527,78,High school or less,White,Female,Less than $40k,always
470246,0.5035,65,Some college,Hispanic,Female,Less than $40k,sporadic
470247,0.7985,68,Some college,White,Male,$40-75k,always
470248,1.5137,50,High school or less,Other/Mixed,Female,$75-125k,sporadic
470250,0.3582,83,College,Black,Female,Less than $40k,always
470251,0.9261,60,High school or less,White,Female,Less than $40k,sporadic
470255,0.6032,58,Some college,Hispanic,Female,$75-125k,sporadic
480273,1.0591,87,High school or less,White,Female,$40-75k,always
470256,1.6547,42,Some college,White,Female,$125k or more,always
470257,0.7321,73,College,White,Female,$75-125k,always
470259,0.6899,82,College,White,Male,$75-125k,always
470260,1.0076,47,High school or less,White,Male,$40-75k,sporadic
470262,0.8076,52,College,White,Male,$75-125k,always
470266,0.983,60,College,White,Female,$125k or more,always
470267,1.0617,35,College,White,Female,$75-125k,sporadic
470268,0.9761,65,High school or less,Hispanic,Female,Less than $40k,sporadic
470270,0.7321,73,College,White,Female,$75-125k,always
470271,1.4455,31,College,White,Female,$125k or more,sporadic
470272,0.3729,69,College,Black,Female,$40-75k,sporadic
470273,1.0267,76,College,White,Female,$125k or more,sporadic
480292,0.8257,31,College,White,Male,Less than $40k,always
470274,1.5287,43,High school or less,Hispanic,Female,$75-125k,rarely/never
470275,0.8951,54,College,White,Male,$125k or more,always
470276,0.9673,78,High school or less,White,Female,Less than $40k,always
480296,1.277,29,College,White,Female,$125k or more,rarely/never
470277,1.6382,66,High school or less,White,Female,$40-75k,sporadic
470278,0.6808,69,College,White,Male,Less than $40k,always
470279,0.5402,78,Some college,Black,Female,$40-75k,always
470282,1.6301,29,Some college,Black,Male,$40-75k,rarely/never
470283,0.5771,41,College,Black,Male,$75-125k,rarely/never
480304,1.3129,67,High school or less,Hispanic,Female,$75-125k,rarely/never
470284,1.3284,85,High school or less,White,Female,$125k or more,always
470285,1.4351,44,College,White,Female,$125k or more,sporadic
470286,0.8489,29,College,White,Male,$125k or more,sporadic
470289,0.8473,83,Some college,White,Female,Less than $40k,sporadic
470290,1.3995,32,Some college,White,Female,$75-125k,sporadic
470291,0.8401,72,Some college,White,Male,Less than $40k,always
470292,1.2966,55,Some college,White,Male,$125k or more,sporadic
470293,1.103,57,College,White,Female,$75-125k,always
470294,0.9746,73,College,White,Male,$125k or more,sporadic
470301,0.9067,76,Some college,White,Male,$40-75k,sporadic
470305,1.3079,22,High school or less,White,Female,$40-75k,always
470309,2.0817,48,High school or less,Other/Mixed,Male,Less than $40k,always
470310,0.4096,61,Some college,Black,Male,$75-125k,sporadic
470311,1.0267,29,College,White,Female,$75-125k,always
470312,0.9498,51,High school or less,Black,Male,$40-75k,sporadic
470313,0.9673,80,High school or less,White,Female,Less than $40k,always
470314,1.0067,66,High school or less,White,Female,$40-75k,always
480336,1.3356,53,High school or less,White,Female,$40-75k,rarely/never
480339,1.3514,62,High school or less,White,Female,$125k or more,always
470317,1.0844,59,College,White,Male,$125k or more,sporadic
470319,0.9442,68,Some college,White,Male,$75-125k,rarely/never
470320,1.2414,56,Some college,White,Male,$125k or more,sporadic
470321,0.6932,82,College,White,Female,Less than $40k,sporadic
470322,1.0953,49,High school or less,White,Male,$40-75k,sporadic
470323,0.6631,73,College,White,Male,$40-75k,always
470326,0.9554,70,High school or less,White,Male,$75-125k,sporadic
470329,0.9777,29,College,White,Male,$125k or more,sporadic
470330,0.9844,76,High school or less,White,Male,$40-75k,sporadic
470331,0.6943,63,Some college,Black,Female,$125k or more,always
470332,1.1998,55,High school or less,White,Male,$40-75k,sporadic
470333,0.7169,61,Some college,Hispanic,Female,$75-125k,always
470334,1.1843,43,Some college,White,Female,Less than $40k,rarely/never
470338,0.6866,57,College,Black,Female,$125k or more,sporadic
470340,1.3041,51,College,White,Female,$125k or more,always
470341,0.7646,69,College,White,Female,$75-125k,always
470343,1.0528,73,College,White,Male,$125k or more,sporadic
470344,1.1615,56,Some college,White,Female,Less than $40k,rarely/never
470345,1.063,58,High school or less,White,Male,$75-125k,always
470348,0.9554,83,High school or less,White,Male,$75-125k,sporadic
470349,1.5268,27,Some college,White,Female,$125k or more,always
470350,0.867,83,Some college,Other/Mixed,Male,$75-125k,sporadic
470351,1.0557,53,High school or less,White,Male,$40-75k,always
470352,1.0688,35,College,White,Female,$75-125k,sporadic
470353,1.0092,75,College,White,Female,$125k or more,sporadic
470354,1.1241,53,Some college,White,Female,Less than $40k,sporadic
470355,1.3471,61,High school or less,Other/Mixed,Male,$125k or more,always
470356,1.1564,59,High school or less,Black,Female,$40-75k,always
470358,0.7607,28,College,White,Male,$40-75k,rarely/never
480385,1.0261,45,College,Other/Mixed,Female,$125k or more,rarely/never
470359,1.0567,58,College,White,Female,$75-125k,always
470361,1.1838,69,Some college,White,Female,$125k or more,always
470362,1.3006,40,High school or less,White,Male,$40-75k,sporadic
470363,0.9274,62,Some college,White,Female,$75-125k,rarely/never
470364,1.0341,75,College,White,Female,$125k or more,sporadic
470365,1.264,46,College,White,Female,$75-125k,sporadic
470366,1.3041,51,College,White,Female,$125k or more,always
470367,0.9261,78,High school or less,White,Female,Less than $40k,sporadic
470370,0.296,52,College,Hispanic,Male,Less than $40k,rarely/never
470371,1.1045,45,Some college,White,Male,$75-125k,sporadic
470372,1.1379,30,Some college,White,Male,$75-125k,sporadic
470373,0.6322,65,College,White,Male,$40-75k,sporadic
470374,0.7361,28,College,White,Male,$40-75k,rarely/never
470375,0.541,59,College,Black,Male,$125k or more,always
470376,0.6197,30,College,Black,Female,$75-125k,always
470377,0.8683,80,College,White,Female,$75-125k,always
470379,1.2437,43,High school or less,White,Male,$75-125k,rarely/never
470382,1.2225,31,College,White,Female,$125k or more,rarely/never
470383,0.5243,64,College,Other/Mixed,Male,Less than $40k,sporadic
470384,1.2687,43,College,White,Male,$125k or more,sporadic
470385,1.0279,69,Some college,White,Female,$125k or more,always
470387,0.9855,62,Some college,White,Male,$75-125k,sporadic
470389,0.9741,66,High school or less,White,Male,$40-75k,sporadic
470391,0.8699,68,Some college,White,Female,Less than $40k,always
470392,0.4719,69,Some college,Black,Female,Less than $40k,always
470393,0.7583,70,College,White,Male,$40-75k,rarely/never
470394,1.1512,61,High school or less,White,Female,$75-125k,always
470395,1.0064,81,High school or less,White,Female,$75-125k,sporadic
470396,0.962,60,Some college,White,Female,$40-75k,rarely/never
470397,0.9712,56,High school or less,White,Male,Less than $40k,always
470399,0.9726,56,Some college,White,Male,$75-125k,always
470403,0.7754,67,High school or less,Black,Female,Less than $40k,sporadic
480432,0.4656,70,Some college,Black,Male,$40-75k,always
470405,0.9746,83,College,White,Male,$125k or more,always
470407,1.178,47,Some college,White,Female,$75-125k,always
470408,0.4371,77,Some college,Hispanic,Male,$40-75k,always
470409,1.0357,44,College,Other/Mixed,Female,$125k or more,sporadic
470411,0.853,63,Some college,White,Male,$75-125k,always
470412,1.427,50,High school or less,White,Female,$75-125k,always
470414,1.0767,58,College,White,Male,$125k or more,always
470415,1.2702,39,Some college,White,Male,$125k or more,rarely/never
470416,0.7029,68,College,White,Female,Less than $40k,always
470417,0.5309,39,College,Black,Male,$40-75k,rarely/never
470419,0.9673,83,High school or less,White,Female,Less than $40k,sporadic
470420,1.3016,41,Some college,White,Male,$125k or more,sporadic
470421,0.9456,83,Some college,White,Female,$40-75k,always
470422,0.8961,82,High school or less,White,Male,Less than $40k,always
470423,0.6083,48,Some college,Hispanic,Female,$75-125k,sporadic
470424,0.7206,70,College,White,Male,$75-125k,always
470425,0.4689,59,College,Black,Male,$75-125k,sporadic
480454,0.7364,30,Some college,Black,Male,$40-75k,sporadic
470426,0.4161,65,College,Black,Female,$75-125k,rarely/never
470427,1.0844,49,College,White,Male,$125k or more,sporadic
470428,1.3207,44,College,White,Female,$75-125k,sporadic
470429,0.9927,68,Some college,White,Male,$75-125k,always
470430,1.4368,43,Some college,White,Female,$125k or more,sporadic
470431,0.7646,70,College,White,Female,$75-125k,always
470433,1.0583,52,College,White,Male,$125k or more,always
470434,1.0943,78,High school or less,White,Female,$125k or more,sporadic
470436,1.0844,45,College,White,Male,$125k or more,sporadic
470437,1.1157,71,Some college,White,Male,$125k or more,always
470439,1.6302,26,College,Black,Male,$125k or more,always
470440,0.9981,65,High school or less,White,Male,$40-75k,rarely/never
470442,0.9132,65,Some college,White,Male,$40-75k,sporadic
470444,0.8657,73,High school or less,White,Male,Less than $40k,always
470445,1.4532,56,High school or less,White,Female,$40-75k,always
470446,2.496,58,High school or less,Other/Mixed,Female,Less than $40k,sporadic
470448,0.9145,71,Some college,White,Female,Less than $40k,sporadic
480478,0.5082,70,Some college,Black,Female,$75-125k,always
470449,1.4351,44,College,White,Female,$125k or more,sporadic
470450,1.6988,40,Some college,White,Female,$125k or more,rarely/never
470451,0.9274,68,Some college,White,Female,$75-125k,always
470452,1.2519,65,High school or less,White,Male,$125k or more,sporadic
470455,0.556,63,College,Hispanic,Female,$125k or more,sporadic
470457,0.6249,67,High school or less,Black,Male,$40-75k,rarely/never
470458,0.6322,86,College,White,Male,$40-75k,sporadic
470459,0.7841,77,College,White,Male,$75-125k,sporadic
470460,1.0267,61,College,White,Female,$125k or more,always
480491,0.9186,63,High school or less,White,Female,Less than $40k,sporadic
470461,1.0767,53,College,White,Male,$125k or more,sporadic
470466,0.7841,68,College,White,Male,$75-125k,sporadic
470468,0.8208,63,High school or less,Black,Female,$75-125k,sporadic
470469,0.8913,74,Some college,White,Female,$40-75k,always
470470,0.8951,57,College,White,Male,$75-125k,sporadic
470471,0.9517,37,College,White,Male,$75-125k,sporadic
470472,1.1106,58,High school or less,White,Male,$40-75k,sporadic
470474,0.7158,80,College,White,Male,$75-125k,always
470476,0.3728,66,College,Black,Female,$75-125k,always
470477,0.9081,65,High school or less,White,Male,$75-125k,always
470478,0.9264,69,College,White,Male,$125k or more,sporadic
470480,0.7158,77,High school or less,Hispanic,Male,$40-75k,sporadic
470481,0.7835,71,College,White,Male,$125k or more,always
470482,1.0143,54,High school or less,White,Male,$40-75k,sporadic
470483,1.3354,67,Some college,White,Male,$125k or more,always
470484,1.2364,62,Some college,White,Female,$125k or more,always
470485,0.9012,46,College,Other/Mixed,Male,$125k or more,rarely/never
470487,0.8321,58,College,White,Male,$40-75k,always
470488,0.5005,67,Some college,Black,Female,Less than $40k,sporadic
480520,0.9261,61,High school or less,White,Female,$40-75k,sporadic
470489,0.5081,42,College,Black,Male,$75-125k,sporadic
470490,0.9676,63,College,White,Male,$125k or more,rarely/never
470491,1.0147,57,College,White,Female,$40-75k,always
470492,0.8404,86,Some college,White,Female,Less than $40k,always
470495,1.5551,61,High school or less,White,Male,$40-75k,sporadic
470496,0.9211,67,Some college,White,Female,$40-75k,always
470497,1.159,59,High school or less,White,Female,Less than $40k,sporadic
470498,1.8396,38,High school or less,Hispanic,Female,$40-75k,sporadic
470499,1.1292,39,Some college,White,Female,$40-75k,sporadic
480532,0.4264,63,College,Black,Female,$75-125k,always
470501,0.9742,63,High school or less,White,Female,Less than $40k,sporadic
470502,1.0092,73,College,White,Female,$125k or more,always
470503,0.9746,76,College,White,Male,$125k or more,sporadic
470504,0.9488,78,High school or less,White,Male,$40-75k,sporadic
470505,0.4689,59,College,Black,Male,$75-125k,always
470506,0.4753,68,Some college,Black,Female,Less than $40k,always
480540,0.7605,29,College,White,Male,$75-125k,sporadic
470507,1.0767,56,College,White,Male,$125k or more,always
470508,0.9055,69,High school or less,White,Male,$40-75k,always
470513,0.9712,59,College,White,Female,$75-125k,always
470514,0.7712,49,Some college,Black,Female,$75-125k,rarely/never
470515,0.9208,77,Some college,White,Female,$75-125k,always
470517,0.7648,70,College,White,Female,$40-75k,always
470518,0.6625,81,College,White,Male,Less than $40k,always
470519,1.1512,67,High school or less,White,Female,$125k or more,always
470520,0.9511,75,College,White,Male,$125k or more,always
470521,1.143,65,High school or less,White,Female,$75-125k,always
470523,1.0943,68,High school or less,White,Female,$75-125k,rarely/never
470524,1.3135,56,College,White,Female,$125k or more,sporadic
470525,1.4351,44,College,White,Female,$125k or more,sporadic
470526,0.834,80,Some college,White,Male,$40-75k,always
470527,1.1235,78,High school or less,White,Female,$75-125k,always
470528,0.9656,57,Some college,White,Male,$75-125k,sporadic
470529,0.8243,67,College,White,Male,$125k or more,always
470530,1.063,57,High school or less,White,Male,$75-125k,always
470531,0.8198,69,Some college,White,Male,$40-75k,always
470532,0.4719,65,Some college,Black,Female,Less than $40k,sporadic
470535,1.2966,57,Some college,White,Male,$125k or more,always
470536,1.6273,63,High school or less,White,Female,$40-75k,rarely/never
470540,1.2687,43,College,White,Male,$125k or more,sporadic
470541,1.056,67,Some college,Other/Mixed,Male,$40-75k,sporadic
470542,0.6682,64,College,White,Female,Less than $40k,always
470543,1.3447,41,Some college,White,Female,$40-75k,sporadic
470545,0.9116,63,High school or less,White,Male,Less than $40k,sporadic
470547,0.9676,79,College,White,Male,$125k or more,always
470548,0.2789,74,College,Black,Male,Less than $40k,sporadic
470549,0.834,73,Some college,White,Male,Less than $40k,sporadic
470550,0.9673,64,High school or less,White,Female,Less than $40k,rarely/never
470552,1.2828,61,High school or less,White,Male,$125k or more,always
470554,0.8243,75,College,White,Male,$125k or more,always
470556,1.4351,42,College,White,Female,$125k or more,sporadic
470557,1.0943,65,High school or less,White,Female,$75-125k,always
470558,1.0591,77,High school or less,White,Female,$40-75k,always
470559,1.0675,58,Some college,White,Female,Less than $40k,sporadic
470560,0.3085,77,College,Black,Male,$40-75k,always
470561,0.5516,52,College,Hispanic,Female,$125k or more,always
470562,1.0588,90,High school or less,White,Male,$75-125k,always
470564,1.8757,35,High school or less,White,Male,Less than $40k,rarely/never
470565,0.7825,55,College,Other/Mixed,Male,$125k or more,sporadic
470567,1.4453,55,Some college,White,Female,$125k or more,rarely/never
470568,1.2375,59,High school or less,White,Female,Less than $40k,sporadic
470570,0.885,73,Some college,White,Female,Less than $40k,rarely/never
470571,1.0143,59,High school or less,White,Male,Less than $40k,sporadic
470572,1.8086,32,High school or less,White,Female,$125k or more,rarely/never
470573,1.2717,57,Some college,White,Female,$125k or more,always
470574,0.9132,68,Some college,White,Male,$40-75k,always
470575,0.6926,77,College,White,Male,Less than $40k,rarely/never
470576,0.3296,65,College,Black,Male,$75-125k,rarely/never
470577,0.3769,63,Some college,Black,Male,$40-75k,sporadic
480614,1.1027,57,High school or less,White,Male,$40-75k,always
470580,1.1668,58,High school or less,White,Female,Less than $40k,sporadic
470581,0.4357,45,College,Hispanic,Female,$75-125k,always
470582,0.8473,76,Some college,White,Female,Less than $40k,sporadic
470583,0.885,67,Some college,White,Female,$40-75k,always
480620,1.1668,28,College,Black,Male,Less than $40k,rarely/never
470584,0.7583,82,College,White,Male,$40-75k,sporadic
470585,0.8683,78,College,White,Female,$75-125k,sporadic
470586,0.9945,69,Some college,White,Male,$75-125k,always
470587,0.7985,80,Some college,White,Male,$40-75k,always
470589,0.6465,60,College,White,Male,Less than $40k,always
470591,1.0977,53,Some college,White,Male,$40-75k,sporadic
470593,1.0688,38,College,White,Female,$75-125k,sporadic
470595,1.0267,64,College,White,Female,$125k or more,always
470596,1.4068,69,High school or less,White,Female,Less than $40k,always
470597,0.9186,81,High school or less,White,Female,Less than $40k,always
470599,0.4279,82,Some college,Black,Male,$40-75k,always
470600,0.7889,63,High school or less,Black,Female,Less than $40k,rarely/never
470601,0.5005,76,College,Black,Female,$125k or more,always
470602,0.7018,43,College,Hispanic,Male,$125k or more,always
470605,0.4283,61,Some college,Black,Male,Less than $40k,always
470607,0.9186,78,High school or less,White,Female,Less than $40k,sporadic
470608,1.3469,41,High school or less,White,Female,$75-125k,rarely/never
470609,1.0308,52,College,White,Male,$125k or more,always
470612,1.1496,56,Some college,White,Female,$75-125k,always
470613,0.9347,54,Some college,White,Male,Less than $40k,sporadic
470614,1.1907,32,High school or less,White,Male,$75-125k,rarely/never
470615,1.6501,69,High school or less,White,Female,$40-75k,sporadic
470617,0.9172,45,College,White,Male,$125k or more,always
470618,0.5736,78,College,Hispanic,Female,$125k or more,sporadic
470619,0.9508,81,High school or less,White,Female,Less than $40k,always
470621,0.885,69,Some college,White,Female,Less than $40k,sporadic
470623,0.8243,69,College,White,Male,$75-125k,always
470625,0.9676,72,College,White,Male,$125k or more,sporadic
470626,0.9261,73,High school or less,White,Female,Less than $40k,always
470628,0.9741,68,High school or less,White,Male,$40-75k,sporadic
470629,0.9081,82,High school or less,White,Male,$75-125k,rarely/never
470630,0.853,60,Some college,White,Male,$75-125k,always
470631,1.5685,71,High school or less,White,Female,$40-75k,always
470632,0.6504,62,High school or less,Black,Male,$40-75k,sporadic
470633,0.7199,58,College,Other/Mixed,Male,$40-75k,sporadic
470634,0.7004,75,Some college,White,Male,$40-75k,sporadic
470636,0.3922,61,College,Black,Female,$40-75k,always
470637,0.8928,56,College,White,Female,Less than $40k,always
470640,1.1838,63,Some college,White,Female,$125k or more,always
470641,1.0554,59,High school or less,White,Male,$75-125k,always
470643,1.1699,49,Some college,White,Female,$40-75k,always
470645,0.9919,88,High school or less,White,Male,Less than $40k,sporadic
470646,0.9264,60,College,White,Male,$125k or more,always
470647,0.7516,62,College,White,Female,$75-125k,always
470648,0.9116,72,High school or less,White,Male,Less than $40k,always
470649,0.8184,74,College,White,Male,$75-125k,always
